source,Area,Date,Certainty,Impact,People Affected,Deaths,flood
http://www.monitor.co.ug/Business/Prosper/-/688616/889018/-/jg1kncz/-/index.html,Kampala,30/03/2010,4,L,,,1
http://www.monitor.co.ug/Sports/OtherSport/-/690284/889792/-/i800tbz/-/index.html,Kampala,31/03/2010,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/835272/-/10y3kv8/-/index.html,Kampala,01/04/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/872906/-/wj5gt1/-/index.html,Kampala,03/04/2010,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/951510/-/11jbobw/-/index.html,Kampala,07/04/2010,4,L,,,1
http://www.monitor.co.ug/Magazines/Farming/-/689860/970138/-/xees2u/-/index.html,Kampala,08/04/2010,4,L,,,1
http://www.newvision.co.ug/news/609776-bududa-survivors-sue-over-relocation.html,Kampala,10/04/2010,4,L,,,1
http://www.newvision.co.ug/news/621338-news-in-brief.html,Kampala,13/04/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/900992/-/a2xe3hz/-/index.html,Kampala,18/04/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/905372/-/wxydpf/-/index.html,Kampala,24/04/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/905832/-/a2txfez/-/index.html,Kampala,25/04/2010,4,L,,,1
http://www.monitor.co.ug/SpecialReports/-/688342/906466/-/fv59rh/-/index.html,Kampala,26/04/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/908660/-/wy1j0d/-/index.html,Kampala,28/04/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/908548/-/2f17avz/-/index.html,Kampala,29/04/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/873442/-/wj62bc/-/index.html,Kampala,03/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/952336/-/x20052/-/index.html,Kampala,07/05/2010,4,L,,,1
http://www.monitor.co.ug/SpecialReports/Elections/-/859108/1047496/-/jkvjjf/-/index.html,Kampala,11/05/2010,4,L,,,1
http://www.newvision.co.ug/news/619150-mudslides-ravage-mbale-and-kanungu.html,Kampala,16/05/2010,4,L,,,1
http://www.newvision.co.ug/news/619112-kabale-landslide-kills-university-student.html,Kampala,17/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/920498/-/x040ql/-/index.html,Kampala,18/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/921104/-/x04mhb/-/index.html,Kampala,19/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/921864/-/x04s4t/-/index.html,Kampala,20/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/923042/-/x060fo/-/index.html,Kampala,22/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/924844/-/x06v1k/-/index.html,Kampala,25/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/925886/-/x07kgc/-/index.html,Kampala,26/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/927584/-/x08vq9/-/index.html,Kampala,29/05/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/836526/-/wgr0fe/-/index.html,Kampala,01/06/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/873954/-/ahn9p0z/-/index.html,Kampala,03/06/2010,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/893144/-/jfj6t2z/-/index.html,Kampala,04/06/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/937310/-/x0udvc/-/index.html,Kampala,13/06/2010,4,L,,,1
http://www.monitor.co.ug/artsculture/Travel/-/691238/942860/-/4rfdiz/-/index.html,Kampala,21/06/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/946162/-/x1g712/-/index.html,Kampala,26/06/2010,4,L,,,1
http://www.monitor.co.ug/SpecialReports/Elections/-/859108/948400/-/aqndpaz/-/index.html,Kampala,29/06/2010,4,L,,,1
http://www.monitor.co.ug/SpecialReports/-/688342/894134/-/fhjx15/-/index.html,Kampala,04/07/2010,4,L,,,1
http://www.newvision.co.ug/news/615664-will-mother-nature-survive-uganda̢-s-population-pressure.html,Kampala,07/07/2010,4,L,,,1
http://www.monitor.co.ug/Business/Auto/-/688614/962174/-/g8c3l0z/-/index.html,Kampala,22/07/2010,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/963988/-/5sftvc/-/index.html,Kampala,25/07/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/875148/-/wj7dlh/-/index.html,Kampala,03/08/2010,4,L,,,1
http://www.newvision.co.ug/news/617604-lands-told-to-cancel-leases-in-wetland.html,Kampala,06/08/2010,4,L,,,1
http://www.monitor.co.ug/Business/-/688322/1005778/-/37vbf6/-/index.html,Kampala,09/08/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1068274/-/cki3elz/-/index.html,Kampala,12/08/2010,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/977532/-/iwlnhdz/-/index.html,Kampala,17/08/2010,4,L,,,1
New Vision,Kampala,22/08/2010,4,L,,,1
http://www.newvision.co.ug/news/612643-stern-action-needed-to-end-city-floods.html,Kampala,23/08/2010,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/875258/-/jgpu5vz/-/index.html,Kampala,03/09/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/895722/-/wkfl1w/-/index.html,Kampala,04/09/2010,4,L,,,1
Letter dated 8/10/10 from the Medical Advicer/Board Member,Kampala,18/09/2010,4,M,,,1
http://www.monitor.co.ug/News/National/-/688334/1015622/-/cnmrtcz/-/index.html,Kampala,22/09/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/876042/-/ahldtjz/-/index.html,Kampala,03/10/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/915286/-/wykvua/-/index.html,Kampala,05/10/2010,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/973536/-/iwofqxz/-/index.html,Kampala,08/10/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1039500/-/cmbxlbz/-/index.html,Kampala,25/10/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1042994/-/yqdin5/-/index.html,Kampala,30/10/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1043428/-/cltlchz/-/index.html,Kampala,31/10/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/877000/-/wj8qcl/-/index.html,Kampala,03/11/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/877750/-/wj8vy8/-/index.html,Kampala,03/12/2010,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/CharlesOnyangoObbo/-/878504/1080060/-/gowkot/-/index.html,Kampala,29/12/2010,4,L,,,1
http://www.monitor.co.ug/SpecialReports/-/688342/1081308/-/ubykal/-/index.html,Kampala,31/12/2010,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1116712/-/c4jc0uz/-/index.html,Kampala,03/01/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1210928/-/10rmym9/-/index.html,Kampala,08/01/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1089494/-/cj99o4z/-/index.html,Kampala,14/01/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1090150/-/cit24dz/-/index.html,Kampala,16/01/2011,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/1093228/-/e21htm/-/index.html,Kampala,21/01/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1192846/-/10diwxm/-/index.html,Kampala,07/02/2011,4,M,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/1111874/-/ai9009/-/index.html,Kampala,22/02/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1082752/-/cje2njz/-/index.html,Kampala,01/03/2011,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/1193038/-/14d9sy9z/-/index.html,Kampala,07/03/2011,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/1230042/-/13wxej7z/-/index.html,Kampala,09/03/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1247156/-/12qrxgrz/-/index.html,Kampala,10/03/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1124606/-/c3y7k4z/-/index.html,Kampala,14/03/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1128280/-/13c31t1z/-/index.html,Kampala,18/03/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1129022/-/c3uumcz/-/index.html,Kampala,20/03/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1129830/-/13c27wjz/-/index.html,Kampala,21/03/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1130488/-/13bm0vxz/-/index.html,Kampala,22/03/2011,4,L,,,1
http://www.newvision.co.ug/news/325765-there-will-be-no-floods-̢-experts.html,Kampala,24/03/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1133494/-/c3debyz/-/index.html,Kampala,27/03/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1101366/-/c59fibz/-/index.html,Kampala,02/04/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1118898/-/108prtm/-/index.html,Kampala,03/04/2011,4,L,,,1
http://www.monitor.co.ug/News/Education/-/688336/1138176/-/ehig59/-/index.html,Kampala,04/04/2011,4,L,,,1
http://www.newvision.co.ug/news/18911-floods-paralyse-Kampala-traffic.html,Kampala,11/04/2011,4,L,,,1
http://www.monitor.co.ug/artsculture/Reviews/-/691232/1146338/-/r46pfz/-/index.html,Kampala,18/04/2011,4,L,,,1
URCS Floods response report compiled by Branch focal person,Kampala,23/04/2011,6,M,,6,1
http://www.monitor.co.ug/News/Insight/-/688338/1149542/-/r581g7/-/index.html,Kampala,24/04/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1151516/-/c26ol9z/-/index.html,Kampala,27/04/2011,4,L,,,1
http://www.newvision.co.ug/news/323714-col-kizza-besigye-faces-sh50m-fine.html,Kampala,28/04/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1119098/-/c4hecaz/-/index.html,Kampala,03/05/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1194364/-/137u13pz/-/index.html,Kampala,07/05/2011,4,L,,,1
http://www.newvision.co.ug/news/314652-floods-destroy-rice-gardens-in-butaleja.html,Kampala,12/05/2011,4,L,,,1
http://www.newvision.co.ug/news/322817-govt-orders-encroachers-off-lubigi-wetland.html,Kampala,16/05/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1164824/-/c1i0d8z/-/index.html,Kampala,18/05/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1165966/-/139nsqoz/-/index.html,Kampala,20/05/2011,4,L,,,1
http://www.newvision.co.ug/news/322517-will-new-leaders-change-Kampala.html,Kampala,21/05/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1170080/-/c0yev2z/-/index.html,Kampala,27/05/2011,4,L,,,1
http://www.monitor.co.ug/artsculture/Reviews/-/691232/1171480/-/pd0poz/-/index.html,Kampala,30/05/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1172224/-/c0wyt0z/-/index.html,Kampala,31/05/2011,4,M,,,1
http://www.monitor.co.ug/News/National/-/688334/1102062/-/c58sjmz/-/index.html,Kampala,02/06/2011,4,L,,,1
http://www.newvision.co.ug/news/326855-factors-behind-nrm̢-s-victory.html,Kampala,03/06/2011,4,L,,,1
http://www.newvision.co.ug/news/323276-flood-victims-receive-aid.html,Kampala,05/06/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1213906/-/10rp2ix/-/index.html,Kampala,08/06/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1184230/-/c0a29kz/-/index.html,Kampala,17/06/2011,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/-/688616/1189720/-/ampavt/-/index.html,Kampala,28/06/2011,4,L,,,1
"Assessment report by URCS, Kampala branch",Kampala,29/06/2011,8,M,,1,1
http://www.monitor.co.ug/News/National/-/688334/1176454/-/c0u5vqz/-/index.html,Kampala,06/07/2011,4,L,,,1
http://www.newvision.co.ug/news/316371-floods-ravage-Kampala-suburbs.html,Kampala,09/07/2011,4,L,,,1
http://www.monitor.co.ug/Magazines/Full-Woman/-/689842/1201114/-/13ujh6r/-/index.html,Kampala,16/07/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1202222/-/bl61ciz/-/index.html,Kampala,17/07/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1203604/-/10r3ga7/-/index.html,Kampala,19/07/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1085608/-/cjc0lqz/-/index.html,Kampala,01/08/2011,4,L,,,1
http://www.monitor.co.ug/Business/Markets/-/688606/1232198/-/sl40yt/-/index.html,Kampala,09/08/2011,4,L,,,1
http://www.monitor.co.ug/Magazines/Life/-/689856/1222126/-/bnghds/-/index.html,Kampala,21/08/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1225694/-/bjuraaz/-/index.html,Kampala,27/08/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1226114/-/10sdi4x/-/index.html,Kampala,28/08/2011,4,L,,,1
The Monitor News Paper of 15/09/11,Kampala,14/09/2011,4,L,,2,1
http://www.newvision.co.ug/news/1241-two-killed-in-Kampala-floods.html,Kampala,15/09/2011,4,L,,,1
http://www.newvision.co.ug/news/315922-colleagues-mourn-barclay̢-s-bank-cashier.html,Kampala,16/09/2011,4,L,,,1
http://www.monitor.co.ug/SpecialReports/-/688342/1237618/-/vc6kks/-/index.html,Kampala,17/09/2011,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/1237892/-/13wscvwz/-/index.html,Kampala,18/09/2011,4,L,,,1
http://www.newvision.co.ug/news/1021-kcca-blamed-for-city-floods.html,Kampala,19/09/2011,4,L,,,1
http://www.newvision.co.ug/news/315720-sugar-prices-to-reduce-as-imports-arrive.html,Kampala,20/09/2011,4,L,,,1
http://www.newvision.co.ug/news/315632-rastoon.html,Kampala,21/09/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1240512/-/biq734z/-/index.html,Kampala,22/09/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1243680/-/bio360z/-/index.html,Kampala,27/09/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1252916/-/bi36eiz/-/index.html,Kampala,10/10/2011,4,L,,,1
Assessment report by URCS ,Kampala,18/10/2011,4,M,,21,1
http://www.monitor.co.ug/News/National/-/688334/1262666/-/bhgoq5z/-/index.html,Kampala,28/10/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1263996/-/bhfwyxz/-/index.html,Kampala,30/10/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1160034/-/c1kxvoz/-/index.html,Kampala,05/11/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1233810/-/10sx4jt/-/index.html,Kampala,09/11/2011,4,L,,,1
new vision,Kampala,11/11/2011,4,L,,1,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1274370/-/12p0d4tz/-/index.html,Kampala,17/11/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1275952/-/bgs0jxz/-/index.html,Kampala,20/11/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Editorial/-/689360/1279726/-/a3n87l/-/index.html,Kampala,27/11/2011,4,L,,,1
http://www.newvision.co.ug/news/45670-boy-dies-in-Kampala-floods.html,Kampala,28/11/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/BernardTabaire/-/878688/1105862/-/mq47l3/-/index.html,Kampala,02/12/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1234716/-/bj9w4pz/-/index.html,Kampala,09/12/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1291988/-/bfmoy6z/-/index.html,Kampala,19/12/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1294140/-/bfkse3z/-/index.html,Kampala,23/12/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/-/689364/1295534/-/12nqjjjz/-/index.html,Kampala,27/12/2011,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1296410/-/bfjch1z/-/index.html,Kampala,28/12/2011,4,L,,,1
http://www.monitor.co.ug/OpEd/Editorial/-/689360/1297490/-/a4tu6j/-/index.html,Kampala,31/12/2011,4,L,,,1
http://www.monitor.co.ug/News/National/Fake-car-engine-oil-floods-the-market/-/688334/1491608/-/edn2tk/-/index.html,Kampala,09/01/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1310632/-/b1i273z/-/index.html,Kampala,20/01/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/YasiinMugerwa/-/878670/1311412/-/51nqwq/-/index.html,Kampala,22/01/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1312936/-/b1gl79z/-/index.html,Kampala,24/01/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1314114/-/b1fdvez/-/index.html,Kampala,26/01/2012,4,L,,,1
http://www.newvision.co.ug/news/628744-Kampala-upe-school-prone-to-floods-closed.html,Kampala,02/02/2012,4,L,,,1
http://www.newvision.co.ug/news/629349-kcca-starts-repairs-on-drainage-channels.html,Kampala,03/02/2012,4,L,,,1
http://www.monitor.co.ug/News/National/More-bodies-exhumed-in-Bududa/-/688334/1441442/-/hincas/-/index.html,Kampala,07/02/2012,4,L,,,1
http://www.monitor.co.ug/News/National/KCCA-to-repair-drainage-systems/-/688334/1468898/-/2du9qc/-/index.html,Kampala,08/02/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Editorial/Time-to-take-back-our-green-spaces/-/689360/1492208/-/najtnpz/-/index.html,Kampala,09/02/2012,4,L,,,1
http://www.monitor.co.ug/News/National/KCCA-seeks-court-guidance-on-Centenary-Park-injunction/-/688334/1522678/-/12byo6e/-/index.html,Kampala,10/02/2012,4,L,,,1
http://www.monitor.co.ug/artsculture/Reviews/-/691232/1325528/-/9rj6a/-/index.html,Kampala,13/02/2012,4,L,,,1
http://www.newvision.co.ug/news/629130-heavy-rains-devastate-Kampala-suburbs.html,Kampala,20/02/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1331796/-/b0995ez/-/index.html,Kampala,21/02/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1333236/-/b07yknz/-/index.html,Kampala,23/02/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1299412/-/bfh9igz/-/index.html,Kampala,01/03/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/Davidsseppuuya/Nature-will-always-win-over-man-s-foolishness/-/1268850/1442342/-/mm71nj/-/index.html,Kampala,07/03/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1369538/-/11eykl6/-/index.html,Kampala,20/03/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/Life/-/689856/1372158/-/calwnt/-/index.html,Kampala,25/03/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1374432/-/awq34fz/-/index.html,Kampala,27/03/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/-/689844/1358418/-/13cgxe4z/-/index.html,Kampala,03/04/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Nation-Media-Group-donates-to-landslide-victims/-/688334/1443760/-/7v3uy7z/-/index.html,Kampala,07/04/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/-/806314/1390322/-/11gmvsl/-/index.html,Kampala,21/04/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/Life/-/689856/1395170/-/cbw3gi/-/index.html,Kampala,29/04/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Uganda-s-best-and-worst-employers/-/688334/1399618/-/jv4g4ez/-/index.html,Kampala,05/05/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Commentary/Uganda-does-not-have-to-emulate-superficial-devt/-/689364/1407898/-/ahtw8hz/-/index.html,Kampala,18/05/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Govt-sorry-for-collapsed-bridges/-/688334/1411262/-/ug816c/-/index.html,Kampala,23/05/2012,4,L,,,1
http://www.newvision.co.ug/news/631565-sewage-burst-floods-Kampala-road.html,Kampala,31/05/2012,4,L,,,1
http://www.monitor.co.ug/artsculture/Travel/Face-to-face-with-the-world-s-biggest-hydro-power-dam/-/691238/1421096/-/yq4as7z/-/index.html,Kampala,06/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Northern-Bypass-now-a-haven-for-city-criminals/-/688334/1445758/-/5dmf4yz/-/index.html,Kampala,07/06/2012,4,L,,,1
http://www.newvision.co.ug/news/634959-move-some-ministries-out-of-Kampala.html,Kampala,09/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/I-m-stressed-by-men-from-Parliament--says-Alengot/-/688334/1526168/-/efq15dz/-/index.html,Kampala,10/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/153-000-affected-by-disasters--Red-Cross/-/688334/1427084/-/sd7xt3/-/index.html,Kampala,14/06/2012,4,L,,,1
http://www.monitor.co.ug/Business/Prosper/Why-the-budget-is-unlikely-to-deliver-the-7--projected-growth/-/688616/1429888/-/3s3olwz/-/index.html,Kampala,19/06/2012,4,L,,,1
http://www.newvision.co.ug/news/632190-gov-t-sues-lc-bikes-insurer-wants-sh1-1b.html,Kampala,21/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/10-people-feared-dead-in-Bududa-landslide/-/688334/1435372/-/eh3kvu/-/index.html,Kampala,25/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Afternoon-downpour-soaks-city--suburbs/-/688334/1435678/-/n5kbq5z/-/index.html,Kampala,26/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Citizens--MTN-provide-aid-to-landslide-survivors/-/688334/1437774/-/qb6pxvz/-/index.html,Kampala,27/06/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/Establish-disaster-preparedness-commission-to-curb-loss-of-lives/-/806314/1437454/-/olipg0z/-/index.html,Kampala,28/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Mafabi-raps-govt-on-Bududa/-/688334/1438976/-/7eqmhh/-/index.html,Kampala,29/06/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Host-families-of-Bududa-survivors-overwhelmed/-/688334/1452370/-/vluqi3z/-/index.html,Kampala,13/07/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/Life/Elegu--A-booming-town-clamouring-for-services/-/689856/1459980/-/97q2sc/-/index.html,Kampala,22/07/2012,4,L,,,1
http://www.monitor.co.ug/artsculture/Reviews/Karamoja--forgotten-but-still-beautiful-and-captivating/-/691232/1462342/-/hlxvbdz/-/index.html,Kampala,25/07/2012,4,L,,,1
http://www.monitor.co.ug/Sports/Soccer/Rains-leave-Hippos-tie-at-Nakivubo-in-danger/-/690266/1463302/-/a9toui/-/index.html,Kampala,26/07/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1401524/-/ai16trz/-/index.html,Kampala,05/08/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/I-will-push-for-unity-at-KCCA--says-newly-sworn-in-Mayor/-/689844/1447464/-/b737t6z/-/index.html,Kampala,07/08/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Police-cordons-off-Mayor-Lukwago-s-home/-/688334/1528240/-/4w5ok7z/-/index.html,Kampala,10/08/2012,4,L,,,1
http://www.monitor.co.ug/Business/EU-lines-Shs183-billion-to--expand-Northern-Bypass/-/688322/1481072/-/ob866nz/-/index.html,Kampala,17/08/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/More-rot-at-OPM-than-meets-the-eye/-/689844/1482068/-/e920ef/-/index.html,Kampala,19/08/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/HomesandProperty/About-home-drainage-systems/-/689858/1484094/-/9q2kuiz/-/index.html,Kampala,21/08/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Editorial/-/689360/1302236/-/aia7jj/-/index.html,Kampala,01/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/-/688334/1382806/-/aw5ts6z/-/index.html,Kampala,04/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Three-years-later--Buganda-riots-victims-yet-to-be-compensated/-/688334/1500412/-/no26hfz/-/index.html,Kampala,09/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Red-Cross-to-manage-camp/-/688334/1528428/-/4oopjjz/-/index.html,Kampala,10/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/How-the-NRM-party-won-Usuk-by-election/-/688334/1507444/-/lp11lk/-/index.html,Kampala,15/09/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/BernardTabaire/UG-50--Kampala-went-to-the-sewers--and-Uganda-followed/-/878688/1507800/-/2r4ixbz/-/index.html,Kampala,16/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/MPs-tour-wetlands--order-for-immediate-halt-to-construction/-/688334/1511784/-/15dy30iz/-/index.html,Kampala,19/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/MPs-tour-degraded-Kampala-wetlands/-/688334/1512168/-/1maq61z/-/index.html,Kampala,20/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Slums-get-Shs24b-housing-project/-/688334/1516356/-/rfb2qlz/-/index.html,Kampala,25/09/2012,4,L,,,1
http://www.monitor.co.ug/News/National/KCCA-starts-eviction-of-Centenary-Park-tenants/-/688334/1519566/-/uq28apz/-/index.html,Kampala,28/09/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/Letters/Musisi-would-concentrate-on-tarmacking-all-city-roads-first/-/806314/1520018/-/oyhxbrz/-/index.html,Kampala,29/09/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/PeoplePower/Why-the-Centenary-Park-wrangle-nails-Urban-Planners-on-the-cross/-/689844/1520894/-/ntmxi0z/-/index.html,Kampala,30/09/2012,4,L,,,1
http://www.newvision.co.ug/news/632843-govt-buys-oversized-doors-for-displaced-bududa-people.html,Kampala,07/10/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/Full-Woman/So-what-if-a-75-year-old-seeks-out-love/-/689842/1536990/-/sceftn/-/index.html,Kampala,20/10/2012,4,L,,,1
http://www.monitor.co.ug/News/National/Mbale-residents-oppose-Sh50-billion-dam/-/688334/1539102/-/d3nokn/-/index.html,Kampala,22/10/2012,4,L,,,1
http://www.monitor.co.ug/News/National/How-OPM-staff-stole-from-the-poor/-/688334/1598494/-/1314nbsz/-/index.html,Kampala,26/10/2012,4,L,,,1
http://www.monitor.co.ug/OpEd/OpEdColumnists/NicholasSengooba/KCCA--when-one-opts-for-a-nice-hairdo-but-wears-dirty-underwear/-/1293432/1606224/-/naty1v/-/index.html,Kampala,30/10/2012,4,L,,,1
http://www.monitor.co.ug/artsculture/Reviews/-/691232/1383958/-/dfh4b/-/index.html,Kampala,04/11/2012,4,L,,,1
http://www.monitor.co.ug/Magazines/Jobs-Career/Employ-locals-to-survive--says-Chinese-investor/-/689848/1403348/-/of92rm/-/index.html,Kampala,05/11/2012,4,L,,,1
